"category","termy"
"26","wikipedia, pov, point, view, npov, neutral, opinion, criticism, written, subject, facts, encyclopedia, issue, personal, biased, editors, tone, interest, policy, views, opinions, neutrality, bias, issues, factual, controversy, entry, matter, negative, editing, conflict, writing, statements, controversial, encyclopedic, dispute, points, readers, weight, reader, balanced, objective, wikipedia's, reads, balance, undue, positive, piece, presented, disagree, policies, standards, debate, attempt, quotes, highly, critical, criticisms, response, arguments, irrelevant, perspective, personally, concerns, respect, sides, inappropriate, promotional, critics, reflect, attention, accuracy, effort, disputed, manner, strongly, advertisement, giving, viewpoint, agenda, rewrite, promote, subjective, coi, unbiased, poorly, contributions, extremely, inaccurate, editorial, contribute, presenting, stating, controversies, maintain, informative, pushing, persons, weasel, represent, non-neutral, matters, heavily, propaganda, contribut"
"4","image, picture, photo, images, pictures, art, photos, map, show, logo, shows, commons, file, caption, museum, gallery, infobox, nice, cover, showing, upload, pic, size, photograph, arms, painting, quality, shown, replaced, illustration, camera, replace, =p, display, screen, visual, coat, illustrate, photographs, shot, maps, pics, portrait, resolution, uploaded, drawing, graphic, artist, looked, diagram, bottom, face, photography, artists, collection, paintings, svg, statue, png, front, eye, visible, displayed, logos, seal, photographer, illustrations, drawn, smaller, wikimedia, screenshot, galleries, domain, replacing, poster, scan, painted, flickr, sculpture, symbol, representative, artwork, museums, uploading, represent, artistic, projection, shots, thumbnail, shield, thumb, license, replacement, nfcc, drawings, cropped, pixels, illustrating, depicted, emblem, icon, exhibition, shape, corner, depiction, labeled, depict, graphics, monument, illustrates, animation, angle, photographic, lens, beautiful, sizes,"
"3","de, la, spanish, le, en, french, el, se, les, na, spain, des, portuguese, du, da, del, ha, es, di, puerto, san, sa, si, est, paris, mexico, il, ne, los, brazil, france, fr, brazilian, mexican, ng, al, catalan, italian, ch, je, argentina, pour, juan, par, ve, rico, portugal, rio, para, te, santa, ti, pa, po, con, las, su, pas, tr, au, carlos, ma, sur, une, qui, por, facto, pr, ta, dans, philippines, qu, chile, lo, costa, ce, catalonia, una, ar, ra, fran, ko, mi, basque, ka, rican, ang, peru, em, argentine, che, ki, ni, ou, mo, ho, francisco, ci, res, os, tre, madrid, antonio, chateau, manuel, tu, pe, barcelona, maria, grande, jose, nous, translate, rica, manila, espa, luis, como, colombia, miguel, pedro, pierre, buenos, za, cu, cr, ca, marco, din, aires, jos, mas, ke, dia, dos, andr, castilian, jean, ya, li, mais, vi, va, dhe, santiago, della, valencia, . .., avec, diego, nh, nom, dom, vous, um, jure, tienne, lisbon, bec, sont, paulo, ez, filipino, peruvian, od, nos, pd, rey, br, cuba, sans, mar, ol, ais, ja, "
"24","british, country, countries, states, american, united, ireland, uk, flag, irish, canada, europe, polish, russian, failed, world, america, australia, south, european, north, republic, england, britain, kingdom, canadian, russia, national, northern, islands, union, french, poland, germany, france, australian, nationality, island, born, zealand, usa, international, nations, scottish, scotland, western, soviet, africa, italy, nation, ukrainian, flags, dutch, territory, citizenship, southern, italian, eastern, ukraine, netherlands, region, sweden, independence, central, east, swedish, norway, wales, eu, relations, isles, empire, citizen, finland, regions, commonwealth, americans, territories, foreign, spain, quebec, czech, belgium, denmark, poles, norwegian, georgia, nz, province, china, welsh, citizens, germans, sovereign, native, japan, asia, entity, colony, belgian, colonies, baltic, lithuanian, finnish, lithuania, prussia, provinces, passport, african, border, continent, continental, lived, russians, danish, c"
"14","german, pie, die, lots, :d, dont, germany, der, von, im, van, hitler, mistake, dutch, und, ah, translation, corrected, berlin, forgot, er, doesnt, swiss, nazi, isnt, errors, didnt, oops, ist, das, translated, on't, typo, ss, karl, btw, den, gr, um, des, danish, determine, hans, ps, vienna, als, austrian, jan, translate, lol, mit, id, germans, oes, austria, ein, carl, ;-), hat, zu, reich, franz, aka, max, switzerland, fr, ;), ernst, mistakes, whats, ages, nazis, wasnt, eine, dem, sweden, aus, ll, ive, ill, norwegian, ludwig, apologize, shouldnt, nr, :), correction, nope, wont, som, adolf, gong, ooo, dan, teh, til, pls, nevermind, friedrich, ear, es, sch, sie, clearing, wilhelm, het, op, munich, forget, orphaned, belive, ya, apologies, bavaria, auf, og, sp, ber, falun, dat, da, det, strauss, till, amsterdam, ger, otto, effectively, hitler's, deutsche, wat, nicht, ge, alot, wich, felix, plz, =), ich, pl, hess, fu, andreas, fischer, rt, diedie, graf, rudolf, adam, johann, ther, artical, auch, stockholm, isagree, "
"21","):, images, #it, review, :p, edit, fair, ga, written, references, major, accurate, prose, neutral, criteria, coverage, mos, broad, fail, verifiable, stable, reliable, aspects, citations, suitable, #is, factually, tagged, bias, focused, lead, view, comments, wars, representation, non-free, captions, ass, policy, rationales, illustrated, topic, #overall, check, provided, layout, lists, transcluded, pass, lease, ga1, fiction, hold, reviewer, status, quality, illustrate, compliance, choice, watch, erhaps, wiaga, #does, :(, grammar, #if, passes, well-written, concise, copyvios, robably, fixes, suck, deserving, challenged, promoted, in-line, appropriately, captioned, complies, exclude, addresses, stays, #ifeq, alt, ersonally, congratulations, ossibly, incorporation, rewording, counter-intuitive, oint, stepping, #broad, viewpoints, #neutral, #stable, offence, #well-written, #factually, preventing, #illustrated, :*p, notify, appended, paraphrasing, sms, eventual, genuinely, maliciously, achieving, unneeded, tick, sci"
"12","building, food, house, water, oil, tower, buildings, gold, stone, iron, glass, wine, production, hot, construction, wood, products, brand, hotel, beer, silver, trade, meat, store, built, industry, room, houses, architecture, product, steel, coffee, fire, sold, drink, garden, milk, materials, bar, 999, plant, restaurant, tea, wall, floor, ground, market, cheese, rice, eat, cuisine, fruit, chain, salt, shop, ice, bread, sugar, bell, chicken, coin, stores, dish, commercial, tree, coins, stones, price, cream, mining, produced, restaurants, sweet, diamond, towers, cooking, trees, buy, taste, architectural, fish, raw, walls, farm, leaves, grain, corn, copper, mill, structures, variety, foods, shopping, mine, served, coal, dry, eating, recipe, farming, wheat, drinking, plastic, sell, sand, egg, soil, spring, deep, expensive, rocks, produce, plants, gardens, shops, agriculture, supply, agricultural, selling, bought, industrial, factory, cotton, bottle, grow, rooms, fresh, ingredients, fat, beef, pot, cold, owner, sal"
"45","city, town, area, county, population, district, local, cities, village, region, map, census, areas, council, places, towns, hungarian, serbian, historic, province, urban, districts, serbia, romanian, croatian, london, municipality, counties, community, bulgarian, albanian, boundaries, greek, administrative, villages, west, settlement, metropolitan, parish, croatia, maps, live, location, serbs, macedonian, capital, kosovo, greater, regional, largest, castle, romania, hungary, borough, communities, macedonia, albania, serb, ethnic, residents, municipalities, manchester, regions, greece, centre, figures, statistics, territory, municipal, geographical, bulgaria, rural, central, geography, bosnian, located, yugoslavia, mayor, larger, settlements, township, slavic, suburb, divisions, bosnia, wales, division, montenegro, authority, inhabitants, yorkshire, officially, geographic, albanians, hall, lived, slovak, croats, borders, ward, existed, entity, border, incorporated, demographics, minority, valley, suburbs, bulg"
"44","party, political, election, group, movement, government, groups, support, members, politics, vote, parties, liberal, conservative, national, organization, left, communist, social, rights, elections, economic, freedom, campaign, member, democratic, candidates, republican, candidate, opposition, votes, democracy, leader, revolution, power, union, voting, views, socialist, president, organizations, bush, scout, speech, majority, labour, ideology, labor, workers, radical, leaders, association, elected, economy, politicians, poll, presidential, organisation, obama, supporters, reform, seats, membership, opposed, movements, wing, society, parliament, communism, socialism, abortion, economics, communists, alliance, civil, libertarian, soviet, voted, democrats, progressive, policies, seat, positions, congress, scouting, right-wing, anarchist, politically, electoral, nationalist, coalition, voters, trade, capitalism, polls, republicans, nationalism, leadership, liberals, label, committee, opponents, leading, politicia"
"15","notable, notability, wp, deletion, articles, subject, deleted, tag, significant, coverage, criteria, afd, importance, guidelines, independent, speedy, person, meet, wikiproject, inclusion, delete, stub, establish, lack, meets, contested, project, guideline, class, standards, event, multiple, tags, rating, bio, proposed, sufficient, significance, prod, tagged, non-notable, wikipedia's, encyclopedic, improve, established, speedily, fails, attention, biography, requirements, secondary, promotional, nominated, criterion, assessment, article's, received, low, asserted, rs, nomination, warrant, nominate, qualify, worthy, rated, coi, sourcing, merit, improved, projects, subject's, cleanup, third-party, trivial, tagging, impact, substantial, awards, gng, advertising, concern, demonstrate, satisfy, sufficiently, csd, noteworthy, automatically, grounds, biographies, lacks, advertisement, assert, creator, candidate, creation, assessed, passing, met, requirement, biographical, non-trivial, indication, deserves, deserve, "
"25","source, sources, reliable, wp, information, reference, claim, research, find, citation, removed, references, original, cited, material, claims, cite, statement, sourced, citations, provide, primary, secondary, support, published, rs, unsourced, evidence, provided, statements, verifiable, needed, verify, supported, facts, blog, citing, blp, referenced, sourcing, unreliable, quote, personal, verifiability, verified, independent, dubious, living, supporting, cites, acceptable, assertion, self-published, valid, reputable, verification, blogs, challenged, multiple, credible, prove, speculation, third-party, tags, reliability, newspaper, inline, questionable, synthesis, removal, stating, supports, websites, interpretation, proof, explicitly, uncited, accuracy, properly, backed, controversial, quoted, unreferenced, wikipedia's, claiming, authoritative, require, requires, footnote, expert, factual, finding, claimed, confirm, document, policies, assertions, attributed, contentious, rely, reliably, disputed, scholarly,"
"2","page, image, fair, rationale, wikipedia, template, explanation, description, media, talk, deletion, questions, images, deleted, note, notice, specific, include, write, uploaded, addition, archive, complete, remember, policy, simply, week, speedy, copyright, templates, insert, easy, consistent, checking, blank, lacking, file, guideline, criteria, constitutes, specifies, compliance, 2006, boilerplate, insure, commons, background, nominated, tagged, png, #dddddd, bot, contest, non-free, gif, notification, licensed, freely, upload, logo, panic, wikimedia, unknown, jpg, contested, requests, ensure, maha, generated, gore, opportunity, ishi, drools, assistance, visit, files, adequate, suecia, automated, counter, ogg, replies, image's, irony, cyrus, non-formatted, maher, http://www.fastpic.jp, 3409712461, archiving, deletions, svg, blurb, fair-use, lua, miszabot, miley, salvia, bilderberg, neanderthal, divinorum, ipod, potd, crist, bots, holodomor, nfc, silverlight, nfcc, config, msg, undeletion, ry, jutland, senkaku"
"8","school, university, college, high, students, schools, education, student, tab, community, public, society, degree, institute, program, national, arts, class, alumni, science, universities, international, organization, professor, business, association, members, academic, staff, department, board, programs, training, institution, dr, engineering, campus, member, center, higher, project, academy, building, educational, teacher, institutions, professional, colleges, foundation, graduate, study, degrees, director, attended, management, learning, faculty, teachers, founded, technology, private, studies, grade, california, activities, teaching, conference, harvard, taught, organizations, hospital, received, school's, library, classes, courses, hall, senior, award, graduated, usa, sciences, elementary, cambridge, phd, offered, master, studied, oxford, attend, texas, professors, rankings, lodge, ohio, awarded, membership, florida, ranking, accreditation, martial, teach, centre, resources, principal, fields, heritage, "
"49","utc, date, year, january, 2005, 2003, 10, 2006, 2007, years, march, 2008, july, 2009, 2010, april, june, 12, 2011, 2012, 20, february, 11, 15, august, october, million, september, december, 000, 13, 2013, 30, 25, 14, 16, november, 2014, day, 2004, 24, 18, 17, 21, 2015, 19, 23, 28, 22, 2002, 27, 26, 29, 100, days, jan, 31, total, feb, dates, age, numbers, 2000, 40, month, 2001, calendar, months, figure, birth, 50, dec, 200, mar, jun, 1999, nov, figures, 35, apr, 60, 32, 1996, oct, jul, pm, 1998, hours, died, . ., 500, 1991, 1992, billion, 1995, aug, dated, 90, 45, 70, updated, update, 1990, 1993, 1994, 33, 1987, 36, 48, estimated, percent, 1986, 300, 34, sep, minutes, weeks, 1988, gmt, 1st, birthday, 41, 75, 80, 150, 1984, 44, approximately, 1997, announced, average, 1985, 42, retrieved, 1000, 65, 400, 95, (8, 52, 1981, 49, 1989, 37, 1982, 63, sept, 43, 38, 39, julian, 53, 64, estimates, estimate, sunday, 47, pp, 55, 120, 1971, 250, 1976, 00, summer, monday, 57, semi-protected, ten, 1983, 06, 140, vol, gregori"
"41","car, engine, red, kraut, black, white, blue, color, green, cars, model, engines, design, front, type, vehicle, light, yellow, racing, colors, motor, wheel, models, ford, colour, vehicles, speed, train, steam, built, drive, driver, head, lines, driving, track, ride, gauge, rail, types, electric, production, wheels, race, purple, sold, rear, locomotives, valve, motorcycle, cycle, mark, turn, truck, designed, stock, pink, gear, colours, bike, drivers, wear, lotus, locomotive, diesel, cylinder, dark, esp, block, auto, safety, hair, gm, brown, orange, hp, wearing, bicycle, toyota, trains, frame, automobile, railway, fast, motors, straight, trucks, mechanical, f1, dress, suspension, designs, manufacturer, bmw, equipment, mini, roller, flat, belt, manufacturers, grey, heads, worn, pump, rolling, formula, minecraft, fiat, fuel, boiler, stroke, foot, bikes, badge, knot, piston, generation, bearing, brand, angle, helmet, roll, railways, rainbow, driven, seat, shade, sharp, pipe, hybrid, coaster, arm, shoulder, wire, sh"
"22","list, links, link, category, articles, external, lists, pages, removed, listed, linked, entry, categories, include, adding, entries, included, relevant, site, remove, listing, sites, create, related, linking, red, spam, removing, inclusion, readers, belong, purpose, topics, dead, jo, el, items, click, bottom, helpful, removal, broken, commercial, creating, websites, redlinks, internal, directory, belongs, inappropriate, walsh, comprehensive, resource, categorization, item, collection, fuckin, incomplete, dab, hundreds, categorized, orphan, advertising, informative, redlink, cat, adds, bunch, serve, valuable, listings, useless, wikilinks, falls, avoided, portal, descriptions, serves, tool, excessive, elno, respective, non-notable, cleaned, subcategory, dozens, indiscriminate, noteworthy, categorize, pointless, navigation, clicking, exhaustive, embedded, spamming, hidden, duplicate, exclude, bot, linkspam, subcategories, redlinked, wikis, excluded, defunct, repository, meaningful, promoting, categorizing, click"
"10","i'm, i'll, i've, time, good, work, find, add, bit, i'd, feel, didn't, back, lot, put, hope, free, info, working, great, thought, start, things, days, give, stuff, idea, started, haven't, cheers, happy, couple, editing, you're, ago, pretty, check, leave, adding, fix, write, nice, wasn't, wanted, guess, ahead, noticed, week, reading, interesting, mind, glad, hard, improve, job, wait, looked, writing, you've, interested, taking, appreciated, couldn't, project, moment, feedback, draft, thinking, expand, weeks, months, quick, won't, chance, update, reply, suggestions, answer, plan, hey, yeah, finding, hoping, clean, worked, rewrite, excellent, finished, starting, stub, forward, coming, tomorrow, helpful, wondering, expert, input, contribute, busy, we'll, continue, familiar, hours, effort, fixing, you'll, btw, surprised, planning, suggestion, spent, cool, advice, bold, learn, message, ;), luck, wow, hear, trouble, afraid, you'd, figured, ah, finish, quickly, sandbox, expanding, hadn't, progress, checked, updating, "
"39","google, search, html, wiki, news, uk, hits, http://, results, index, php, http://en.wikipedia.org, pdf, htm, www, =p, id, web, en, books, quick, au, ca, pg, false, url, aspx, :/, asp, sites, =d, https://en.wikipedia.org, hl, archive, diff, online, sa, 000, dq, searches, ref, searching, 2011, oldid, 22, scholar, here's, http://books.google.com, =x, 2013, archives, returns, ac, ei, onepage, ct, /8, blog, c3, ved, shtml, cn, 29, cfm, sig, pl, googling, query, p;, ru, bl, turns, oi, 80, forum, retrieved, default, searched, d0, yields, yahoo, 07, reveals, lpg, cgi, ots, dp, docs, 01, fr, files, b2, finds, cgi-bin, b1, 00, jsp, b5, googled, b3, mil, 06, facebook, mirrors, b4, http://www.google.com, http://www.nytimes.com, resnum, 02, nokia, 05, book result, eu, sr, 09, http://www.amazon.com, p=, a1, http://www.bbc.co, forums, fi, http, 03, accessdate, 04, lr, e2, d1, bing, brings, =/, db, utf-8, download, nz, doc, 08, d8, eng, hr, confirms, txt, stm, ch, gl, sid, hu, ro, http://news.bbc.co, http://web.archive.org, "
"13","medical, health, study, studies, disease, effects, medicine, treatment, human, cancer, drug, effect, brain, care, acid, risk, blood, body, mental, pain, patients, cell, test, drugs, chemical, syndrome, results, journal, scientific, clinical, disorder, genetic, dna, condition, therapy, gene, cells, chemistry, symptoms, conditions, reaction, biology, patient, levels, control, caused, protein, testing, diseases, psychology, surgery, humans, biological, genes, illness, doctors, stress, al, methods, compounds, aids, heart, normal, rate, doctor, growth, tests, mechanism, molecular, physical, diagnosis, potential, pubmed, skin, depression, disorders, factors, increase, effective, bacteria, virus, environmental, activity, trials, food, alcohol, doi, severe, infection, diet, organic, hiv, genetics, chronic, psychological, rare, behavior, factor, smoking, increased, hospital, animal, benefits, synthesis, iq, loss, substance, pmid, compound, rates, safety, abstract, researchers, autism, reactions, damage, affect, eye, c"
"42","church, god, christian, catholic, religion, religious, jesus, bible, jewish, orthodox, christianity, roman, churches, temple, holy, faith, christians, christ, beliefs, saint, greek, religions, bishop, jews, judaism, tradition, biblical, belief, st, theology, mythology, practice, hebrew, gods, movement, pope, spiritual, protestant, catholics, worship, doctrine, testament, buddhism, spirit, ancient, saints, cult, buddhist, lord, mormon, eastern, rabbi, scholars, gospel, divine, secular, traditions, sacred, texts, atheist, priest, lds, hindu, traditional, teachings, prayer, rome, bishops, earth, diocese, anglican, paul, believed, heaven, priests, hinduism, scientology, cathedral, theological, deity, practices, goddess, verse, teaching, mary, followers, buddha, catholicism, trinity, god's, vatican, baptist, soul, pagan, canon, sin, islam, torah, cardinal, myth, evangelical, witnesses, evil, verses, ritual, scripture, passage, moses, jew, temples, joseph, matthew, denominations, sect, atheism, genesis, writings, p"
"17","table, style, list, infobox, format, top, template, text, order, center, box, align, class, column, date, numbers, tables, left, background, data, dates, width, manual, standard, lists, bottom, notes, formatting, listing, colspan, templates, code, columns, chart, space, consistent, easier, text-align, wikitable, valign, boxes, row, layout, bgcolor, infoboxes, mos, figures, prefer, match, footnotes, alphabetical, header, putting, bold, consistency, codes, sortable, entries, chronological, footnote, guide, contents, correctly, styles, rowspan, click, headings, display, refs, font, height, sorting, sorted, numbering, border, parameter, bar, extra, formatted, scope, color, option, unicode, formats, solid, inconsistent, toc, preferred, navbox, double, italics, convert, browser, headers, iso, preference, inline, blank, converted, automatically, displayed, rows, readable, brackets, markup, punctuation, navigation, vertical-align, default, referencing, dd, fill, coordinates, ordering, succession, mess, cell, backgrou"
"28","people, life, man, women, day, men, person, love, children, sex, young, child, gay, woman, family, female, story, sexual, bad, told, male, live, friends, age, remember, gender, ago, girl, parents, money, home, face, mother, wanted, living, guy, boy, head, dead, kids, friend, lost, knew, night, truth, wife, father, poor, asked, lives, eyes, job, girls, kill, baby, homosexual, marriage, experience, hear, lived, learn, hate, gave, fear, relationship, dont, don, heart, takes, fight, homosexuality, boys, save, hands, turned, guys, joke, turn, beautiful, lgbt, alive, straight, stupid, spent, fun, felt, funny, room, lesbian, telling, sexuality, met, pay, hours, hair, hit, feeling, tells, adult, hell, sad, married, sitting, door, daughter, forced, kid, eye, amazing, brother, younger, knowing, husband, morning, lose, loved, feelings, worst, mouth, learned, crap, break, families, rich, walk, fashion, memory, sister, relationships, she's, identity, proud, trouble, lady, hearing, enjoy, ability, forget, pornography, wond"
"38","film, show, episode, tv, series, movie, episodes, films, season, television, video, production, plot, radio, shows, character, cast, channel, dvd, characters, imdb, release, news, youtube, movies, actor, broadcast, bbc, actors, star, role, network, theatre, watch, scene, disney, credits, interview, play, released, station, fox, voice, documentary, director, live, aired, appeared, guest, videos, opening, ratings, entertainment, festival, comedy, doctor, program, watched, appearance, night, produced, shown, hollywood, drama, scenes, watching, trivia, broadcasting, programme, actress, seasons, feature, plays, abc, stations, theme, cinema, roles, producer, directed, channels, awards, writers, theater, synopsis, screen, featured, poster, filmed, stars, stage, productions, cartoon, film's, studios, producers, shot, summaries, bond, appearances, filming, viewers, audience, cbs, confirmed, acting, fans, opera, studio, http://www.youtube.com, casting, commentary, simpsons, filmography, footage, writer, pilot, animatio"
"40","energy, power, water, earth, system, mass, light, high, units, pressure, effect, surface, temperature, gas, sun, low, force, field, heat, speed, unit, higher, size, rate, length, air, range, distance, level, moon, nuclear, 100, average, climate, solar, frequency, amount, flow, physics, lower, planet, wave, total, magnetic, constant, scale, weight, wind, density, factor, ice, carbon, maximum, metric, increase, fuel, motion, feet, ratio, measured, mm, km, height, star, gravity, phase, electrical, potential, measurement, stars, signal, relative, electric, volume, degrees, radiation, measure, oil, electricity, voltage, ft, velocity, meters, object, effects, orbit, direction, universe, charge, larger, solid, atmosphere, particle, electron, efficiency, magnitude, particles, inches, measurements, cm, planets, noise, diameter, load, liquid, physical, hydrogen, thermal, 50, ground, capacity, waves, produce, fluid, conversion, levels, circuit, objects, cycle, electrons, output, greater, equal, global, cold, mars, devic"
"11","edit, page, talk, edits, discussion, reverted, made, user, revert, editor, consensus, removed, editors, vandalism, back, change, discuss, editing, version, content, reverting, summary, ip, recent, remove, stop, removing, request, previous, removal, explain, making, users, anonymous, faith, discussed, edited, reasons, delete, warring, dispute, deleting, restored, address, recently, continue, reverts, bold, reversion, revision, valid, undo, anon, restore, discussions, changing, blocked, response, summaries, message, posted, protection, admin, let's, contributions, asked, attempt, concerns, conflict, protected, tags, discussing, brd, sign, repeatedly, prior, undid, rfc, disruptive, reached, contribution, additions, contributor, contribs, explained, log, coi, block, warning, respond, banned, inappropriate, decision, vandal, reply, justification, reasoning, restoring, posting, corrected, constructive, reach, latest, 3rr, posts, resolved, undone, raised, deletions, inserted, attempts, repeated, subsequent, agreemen"
"48","it's, don't, i'm, that's, doesn't, there's, people, isn't, you're, can't, didn't, thing, i'd, pretty, things, bit, wrong, they're, guess, lot, makes, wouldn't, sense, stuff, idea, thought, what's, worth, wasn't, understand, fine, he's, aren't, talking, yeah, heard, kind, sounds, we're, bad, hard, big, sort, shouldn't, call, won't, suppose, you've, interesting, care, puh, obvious, haven't, personally, thinking, you'd, assume, let's, answer, you'll, doubt, mentioning, supposed, meant, deal, couldn't, happen, guy, silly, putting, basically, fairly, stupid, totally, funny, odd, joke, absolutely, argue, ah, confused, imagine, surprised, necessarily, weird, anymore, reasonable, honestly, btw, hmm, hasn't, expect, ridiculous, we'll, strange, guys, bunch, afraid, hear, weren't, wait, they've, assuming, curious, bother, honest, realize, tend, hey, ;), it'd, random, imo, admit, we'd, blah, we've, thinks, ;-), convinced, knew, perfectly, frankly, worry, gonna, nonsense, who's, guessing, lol, hell, bet, trouble, cool, de"
